date,visitors,page_views,conversions
2024-01-01,100,300,10
2024-01-02,125,365,20
2024-01-03,150,430,30
2024-01-04,175,495,16
2024-01-05,200,560,26
2024-01-06,225,375,36
2024-01-07,250,440,22
2024-01-08,135,505,32
2024-01-09,160,570,42
2024-01-10,185,635,28
2024-01-11,210,450,38
2024-01-12,235,515,48
2024-01-13,260,580,34
2024-01-14,285,645,44
2024-01-15,170,710,54
2024-01-16,195,525,40
2024-01-17,220,590,50
2024-01-18,245,655,60
2024-01-19,270,720,46
2024-01-20,295,785,56
2024-01-21,320,600,66
2024-01-22,205,665,52
2024-01-23,230,730,62
2024-01-24,255,795,72
2024-01-25,280,860,58
2024-01-26,305,675,68
2024-01-27,330,740,78
2024-01-28,355,805,64
2024-01-29,240,870,74
2024-01-30,265,935,84
2024-01-31,290,750,70
2024-02-01,315,815,80
2024-02-02,340,880,90
2024-02-03,365,945,76
2024-02-04,390,1010,86
2024-02-05,275,825,96
2024-02-06,300,890,82
2024-02-07,325,955,92
2024-02-08,350,1020,102
2024-02-09,375,1085,88
2024-02-10,400,900,98
2024-02-11,425,965,108
2024-02-12,310,1030,94
2024-02-13,335,1095,104
2024-02-14,360,1160,114
2024-02-15,385,975,100
2024-02-16,410,1040,110
2024-02-17,435,1105,120
2024-02-18,460,1170,106
2024-02-19,345,1235,116
